구별,관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거,총 발생 건수,CCTV 총계,CCTV 최근증가율,총인구,한국인,외국인,고령자,인구 10만명당 범죄율
강남구,강남서수서서,13,10,21,18,449,349,3850,1650,4284,3705,8617,2780,150.61919504643964,570500.0,565550.0,4950.0,63167.0,1510.4294478527606
강동구,강동서,4,3,6,8,156,123,2366,789,2712,2248,5244,773,166.49076517150397,453233.0,449019.0,4214.0,54622.0,1157.020781805385
강북구,강북서,7,8,14,13,153,126,1434,618,2649,2348,4257,748,125.20325203252033,330192.0,326686.0,3506.0,54813.0,1289.249890972525
강서구,강서서,7,8,13,13,262,191,2096,1260,3207,2718,5585,884,134.7938144329897,603772.0,597248.0,6524.0,72548.0,925.0180531723896
관악구,관악서,9,8,12,14,320,221,2706,827,3298,2642,6345,1496,149.29078014184398,525515.0,507203.0,18312.0,68082.0,1207.3870393804173
광진구,광진서,4,4,14,26,240,220,3026,1277,2625,2180,5909,707,53.22862129144852,372164.0,357211.0,14953.0,42214.0,1587.7408884255328
구로구,구로서,8,6,15,11,281,164,2335,889,3007,2432,5646,1561,64.97373029772329,447874.0,416487.0,31387.0,56833.0,1260.6224071948807
노원구,노원서,10,10,7,7,197,121,2193,801,2723,2329,5130,1265,188.929889298893,569384.0,565565.0,3819.0,71941.0,900.9736838407823
도봉구,도봉서,3,3,9,10,102,106,1063,478,1487,1303,2664,485,246.6386554621849,348646.0,346629.0,2017.0,51312.0,764.0988280376083
동대문구,동대문서,5,5,13,13,173,146,1981,814,2548,2227,4720,1294,74.76635514018692,369496.0,354079.0,15417.0,54173.0,1277.4157230389503
동작구,동작서,5,5,9,5,285,139,1865,661,1910,1587,4074,1091,139.33823529411765,412520.0,400456.0,12064.0,56013.0,987.5884805585183
마포구,마포서,8,8,14,10,294,247,2555,813,2983,2519,5854,574,212.1019108280255,389649.0,378566.0,11083.0,48765.0,1502.3777810285667
서대문구,서대문서,2,2,5,4,154,124,1812,738,2056,1711,4029,962,48.5781990521327,327163.0,314982.0,12181.0,48161.0,1231.4962266515467
서초구,서초서방배서,8,6,9,6,393,249,2635,1091,2399,2098,5444,1930,63.37126600284495,450310.0,445994.0,4316.0,51733.0,1208.9449490351092
성동구,성동서,4,4,9,8,126,119,1607,597,1612,1395,3358,1062,81.78082191780823,311244.0,303380.0,7864.0,39997.0,1078.8963000089961
성북구,성북서종암서,5,5,5,4,150,124,1785,741,2209,1855,4154,1464,63.62735381565907,461260.0,449773.0,11487.0,64692.0,900.5766812643628
송파구,송파서,11,10,13,10,220,178,3239,1129,3295,2786,6778,618,104.34782608695652,667483.0,660584.0,6899.0,72506.0,1015.4565734258401
양천구,양천서,3,5,6,3,120,105,1890,672,2509,2030,4528,2034,34.67173087357569,479978.0,475949.0,4029.0,52975.0,943.3765714261904
영등포구,영등포서,14,12,22,20,295,183,2964,978,3572,2961,6867,904,157.97979797979798,402985.0,368072.0,34913.0,52413.0,1704.0336488951202
용산구,용산서,5,5,14,14,194,173,1557,587,2050,1704,3820,1624,53.216374269005854,244203.0,229456.0,14747.0,36231.0,1564.272347186562
은평구,서부서은평서,3,3,9,6,166,141,1914,711,2653,2306,4745,1873,85.23725834797891,494388.0,489943.0,4445.0,72334.0,959.77248638721
종로구,종로서혜화서,6,5,11,9,211,161,2184,837,2293,1931,4705,1002,248.92241379310343,162820.0,153589.0,9231.0,25425.0,2889.6941407689474
중구,중부서남대문서,3,2,9,6,170,111,2548,859,2224,1964,4954,671,147.6997578692494,133240.0,124312.0,8928.0,20764.0,3718.1026718703088
중랑구,중랑서,13,12,11,9,187,148,2135,829,2847,2407,5193,660,79.96070726915521,414503.0,409882.0,4621.0,56774.0,1252.825673155562
